날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2024-01-11,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7115,사하구,14850,해운대구,7735,108.71%,"7,270"
2024-01-11,간장,오복왕표 0.9ℓ 1병,5800,부산진구,8351,사하구,2551,43.98%,"5,800"
2024-01-11,갈치,60cm정도 500g 1마리(냉동),4500,북구,19800,동래구,15300,340.0%,"9,386"
2024-01-11,고등어,30㎝정도 500g 1마리,4000,북구,6545,사상구,2545,63.62%,"4,438"
2024-01-11,달걀,오경슈퍼란60g정도 10개,3990,남구,4600,동래구,610,15.29%,"4,135"
2024-01-11,닭고기,육계 1.0㎏,4980,해운대구,14990,사상구,10010,201.0%,"8,522"
2024-01-11,대파,1.0㎏,2980,남구,6935,해운대구,3955,132.72%,"4,262"
2024-01-11,돼지고기,삼겹살 500g,8820,동래구,18450,남구,9630,109.18%,"10,165"
2024-01-11,두부,500g 판두부(국산포장두부 420g) 1모,1500,북구,6164,사하구,4664,310.93%,"3,832"
2024-01-11,라면,신라면 120g 1봉지,780,남구,780,남구,0,0.0%,780
2024-01-11,맥주,하이트 500㎖ 1병,1660,남구,1820,남구,160,9.64%,"1,740"
2024-01-11,무,2.0㎏ 1개,840,동래구,3180,남구,2340,278.57%,"1,235"
2024-01-11,밀가루,백설표 중력분1등2.5㎏,4420,남구,4980,동래구,560,12.67%,"4,510"
2024-01-11,밀감,100g 정도10개,2980,동래구,9520,남구,6540,219.46%,"4,550"
2024-01-11,배,600g 정도 신고 10개,25000,북구,60500,사상구,35500,142.0%,"28,968"
2024-01-11,배추,2.0㎏ 1포기,1792,해운대구,4433,사상구,2641,147.38%,"2,938"
2024-01-11,부엌용세제,참그린1.4㎏1봉리필용,4165,남구,10900,북구,6735,161.7%,"6,833"
2024-01-11,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16330,북구,18900,사하구,2570,15.74%,"16,405"
2024-01-11,사과,300g정도 부사 10개,12190,부산진구,44970,사상구,32780,268.91%,"12,190"
2024-01-11,사이다,칠성 PET병 1.5ℓ,2316,부산진구,2980,동래구,664,28.67%,"2,316"
2024-01-11,설탕,백설표 정백당 1㎏,2350,해운대구,2680,동래구,330,14.04%,"2,370"
2024-01-11,소주,시원소주 360㎖ 1병,1330,남구,1580,북구,250,18.8%,"1,340"
2024-01-11,쇠고기,한우등심 1등급 500g,31500,동래구,72950,남구,41450,131.59%,"45,700"
2024-01-11,식용유,백설표콩기름1.8ℓ,6580,사상구,8480,부산진구,1900,28.88%,"6,715"
2024-01-11,쌀,정미포장미 20㎏,49900,북구,69900,남구,20000,40.08%,"55,900"
2024-01-11,양파,1.0㎏-잎없는것,1330,사상구,3480,북구,2150,161.65%,"1,495"
