날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2015-10-08,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,사상구,17880,부산진구,10455,140.81%,"7,515"
2015-10-08,간장,오복왕표 0.9ℓ 1병,3755,해운대구,6880,해운대구,3125,83.22%,"5,128"
2015-10-08,고등어,30㎝정도 500g 1마리,2475,남구,6000,북구,3525,142.42%,"2,800"
2015-10-08,달걀,오경슈퍼란60g정도 10개,2033,해운대구,3200,부산진구,1167,57.4%,"2,511"
2015-10-08,닭고기,육계 1.0㎏,4980,남구,11000,부산진구,6020,120.88%,"7,490"
2015-10-08,대파,1.0㎏,2400,북구,4516,부산진구,2116,88.17%,"3,255"
2015-10-08,돼지고기,삼겹살 500g,6750,남구,14500,사상구,7750,114.81%,"8,000"
2015-10-08,두부,500g 판두부(국산포장두부 420g) 1모,3100,북구,5000,남구,1900,61.29%,"3,650"
2015-10-08,라면,신라면 120g 1봉지,630,북구,640,동래구,10,1.59%,632
2015-10-08,맥주,하이트 500㎖ 1병,1240,남구,1350,해운대구,110,8.87%,"1,265"
2015-10-08,무,2.0㎏ 1개,1000,동래구,3571,해운대구,2571,257.1%,"1,200"
2015-10-08,밀가루,백설표 중력분1등2.5㎏,3280,동래구,3790,사하구,510,15.55%,"3,355"
2015-10-08,밀감,100g 정도10개,3900,동래구,8500,남구,4600,117.95%,"5,550"
2015-10-08,배,600g 정도 신고 10개,20454,해운대구,33712,사하구,13258,64.82%,"24,299"
2015-10-08,배추,2.0㎏ 1포기,1143,해운대구,3590,사하구,2447,214.09%,"1,763"
2015-10-08,부엌용세제,참그린1.4㎏1봉리필용,2590,해운대구,6774,해운대구,4184,161.54%,"4,121"
2015-10-08,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13680,남구,14500,해운대구,820,5.99%,"13,680"
2015-10-08,사과,300g정도 부사 10개,7900,사하구,13106,남구,5206,65.9%,"9,125"
2015-10-08,사이다,칠성 PET병 1.5ℓ,1950,해운대구,2800,북구,850,43.59%,"2,239"
2015-10-08,설탕,백설표 정백당 1㎏,1610,동래구,1790,동래구,180,11.18%,"1,700"
2015-10-08,소주,시원소주 360㎖ 1병,1060,남구,1080,동래구,20,1.89%,"1,060"
2015-10-08,쇠고기,한우등심 1등급 500g,37500,남구,49000,동래구,11500,30.67%,"40,000"
2015-10-08,식용유,백설표콩기름1.8ℓ,4900,동래구,7690,사하구,2790,56.94%,"5,925"
2015-10-08,쌀,정미포장미 20㎏,38800,동래구,53800,남구,15000,38.66%,"39,300"
2015-10-08,양파,1.0㎏-잎없는것,2138,사상구,3590,사하구,1452,67.91%,"2,313"
2015-10-08,우유,부산우유 200㎖ 종이팩,730,남구,780,북구,50,6.85%,730
2015-10-08,참기름,오뚜기 320㎖ 1병,4800,부산진구,7300,사하구,2500,52.08%,"4,800"
2015-10-08,커피크림,동서 500g 리필용,2430,해운대구,2895,남구,465,19.14%,"2,635"
2015-10-08,콜라,코카콜라 PET병 1.8ℓ,2230,해운대구,3420,사하구,1190,53.36%,"2,597"
2015-10-08,화장지,뽀삐플러스30m×30롤(3겹),9893,사상구,24474,남구,14581,147.39%,"12,154"
