날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2015-01-01,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8162,남구,8925,남구,763,9.35%,"8,544"
2015-01-01,간장,오복왕표 0.9ℓ 1병,4980,남구,6250,남구,1270,25.5%,"5,615"
2015-01-01,고등어,30㎝정도 500g 1마리,4960,남구,4960,남구,0,0.0%,"4,960"
2015-01-01,달걀,오경슈퍼란60g정도 10개,2900,남구,2900,남구,0,0.0%,"2,900"
2015-01-01,닭고기,육계 1.0㎏,5800,남구,11176,남구,5376,92.69%,"8,488"
2015-01-01,대파,1.0㎏,3043,남구,3308,남구,265,8.71%,"3,176"
2015-01-01,돼지고기,삼겹살 500g,7000,남구,8400,남구,1400,20.0%,"7,700"
2015-01-01,두부,500g 판두부(국산포장두부 420g) 1모,2996,남구,5100,남구,2104,70.23%,"4,048"
2015-01-01,라면,신라면 120g 1봉지,634,남구,634,남구,0,0.0%,634
2015-01-01,맥주,하이트 500㎖ 1병,1240,남구,1240,남구,0,0.0%,"1,240"
2015-01-01,무,2.0㎏ 1개,1180,남구,1985,남구,805,68.22%,"1,583"
2015-01-01,밀가루,백설표 중력분1등2.5㎏,3370,남구,3430,남구,60,1.78%,"3,400"
2015-01-01,밀감,100g 정도10개,2631,남구,2725,남구,94,3.57%,"2,678"
2015-01-01,배,600g 정도 신고 10개,29666,남구,36206,남구,6540,22.05%,"32,936"
2015-01-01,배추,2.0㎏ 1포기,823,남구,1480,남구,657,79.83%,"1,152"
2015-01-01,부엌용세제,참그린1.4㎏1봉리필용,3246,남구,6500,남구,3254,100.25%,"4,873"
2015-01-01,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,남구,13850,남구,0,0.0%,"13,850"
2015-01-01,사과,300g정도 부사 10개,17882,남구,19490,남구,1608,8.99%,"18,686"
2015-01-01,사이다,칠성 PET병 1.5ℓ,2208,남구,2240,남구,32,1.45%,"2,224"
2015-01-01,설탕,백설표 정백당 1㎏,1600,남구,1600,남구,0,0.0%,"1,600"
2015-01-01,소주,시원소주 360㎖ 1병,1060,남구,1060,남구,0,0.0%,"1,060"
2015-01-01,쇠고기,한우등심 1등급 500g,29900,남구,35500,남구,5600,18.73%,"32,700"
2015-01-01,쌀,정미포장미 20㎏,38800,남구,45500,남구,6700,17.27%,"42,150"
2015-01-01,양파,1.0㎏-잎없는것,1366,남구,1800,남구,434,31.77%,"1,583"
2015-01-01,우유,부산우유 200㎖ 종이팩,730,남구,730,남구,0,0.0%,730
2015-01-01,참기름,오뚜기 320㎖ 1병,6600,남구,6600,남구,0,0.0%,"6,600"
2015-01-01,커피크림,동서 500g 리필용,2245,남구,2430,남구,185,8.24%,"2,338"
2015-01-01,콜라,코카콜라 PET병 1.8ℓ,2580,남구,2590,남구,10,0.39%,"2,585"
2015-04-02,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7395,남구,17850,남구,10455,141.38%,"12,623"
2015-04-02,간장,오복왕표 0.9ℓ 1병,4980,남구,6250,남구,1270,25.5%,"5,615"
2015-04-02,고등어,30㎝정도 500g 1마리,4960,남구,4960,남구,0,0.0%,"4,960"
2015-04-02,달걀,오경슈퍼란60g정도 10개,2800,남구,2800,남구,0,0.0%,"2,800"
2015-04-02,닭고기,육계 1.0㎏,6500,남구,9294,남구,2794,42.98%,"7,897"
2015-04-02,대파,1.0㎏,2725,남구,3965,남구,1240,45.5%,"3,345"
2015-04-02,돼지고기,삼겹살 500g,7900,남구,11050,남구,3150,39.87%,"9,475"
2015-04-02,두부,500g 판두부(국산포장두부 420g) 1모,2996,남구,5000,남구,2004,66.89%,"3,998"
2015-04-02,라면,신라면 120g 1봉지,634,남구,634,남구,0,0.0%,634
2015-04-02,맥주,하이트 500㎖ 1병,1240,남구,1240,남구,0,0.0%,"1,240"
2015-04-02,무,2.0㎏ 1개,1280,남구,2137,남구,857,66.95%,"1,709"
2015-04-02,밀가루,백설표 중력분1등2.5㎏,3430,남구,3430,남구,0,0.0%,"3,430"
2015-04-02,밀감,100g 정도10개,5950,남구,6250,남구,300,5.04%,"6,100"
2015-04-02,배,600g 정도 신고 10개,26333,남구,40766,남구,14433,54.81%,"33,550"
2015-04-02,배추,2.0㎏ 1포기,1585,남구,1780,남구,195,12.3%,"1,683"
2015-04-02,부엌용세제,참그린1.4㎏1봉리필용,3281,남구,6500,남구,3219,98.11%,"4,891"
2015-04-02,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,남구,13850,남구,0,0.0%,"13,850"
2015-04-02,사과,300g정도 부사 10개,15418,남구,21957,남구,6539,42.41%,"18,688"
2015-04-02,사이다,칠성 PET병 1.5ℓ,2316,남구,2450,남구,134,5.79%,"2,383"
2015-04-02,설탕,백설표 정백당 1㎏,1570,남구,1600,남구,30,1.91%,"1,585"
2015-04-02,소주,시원소주 360㎖ 1병,1060,남구,1060,남구,0,0.0%,"1,060"
2015-04-02,쇠고기,한우등심 1등급 500g,29500,남구,34000,남구,4500,15.25%,"31,750"
2015-04-02,식용유,백설표콩기름1.8ℓ,6950,남구,6950,남구,0,0.0%,"6,950"
2015-04-02,쌀,정미포장미 20㎏,44500,남구,48800,남구,4300,9.66%,"46,650"
2015-04-02,양파,1.0㎏-잎없는것,1250,남구,1693,남구,443,35.44%,"1,472"
2015-04-02,우유,부산우유 200㎖ 종이팩,730,남구,730,남구,0,0.0%,730
2015-04-02,참기름,오뚜기 320㎖ 1병,6600,남구,6600,남구,0,0.0%,"6,600"
2015-04-02,커피크림,동서 500g 리필용,2245,남구,2580,남구,335,14.92%,"2,413"
2015-04-02,콜라,코카콜라 PET병 1.8ℓ,1940,남구,1980,남구,40,2.06%,"1,960"
2015-04-02,화장지,뽀삐플러스30m×30롤(3겹),12048,남구,18905,남구,6857,56.91%,"15,477"
2015-07-09,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8162,남구,17850,남구,9688,118.7%,"13,006"
2015-07-09,간장,오복왕표 0.9ℓ 1병,4980,남구,6290,남구,1310,26.31%,"5,635"
2015-07-09,고등어,30㎝정도 500g 1마리,3772,남구,5333,남구,1561,41.38%,"4,553"
2015-07-09,달걀,오경슈퍼란60g정도 10개,2600,남구,2700,남구,100,3.85%,"2,650"
2015-07-09,닭고기,육계 1.0㎏,6860,남구,6941,남구,81,1.18%,"6,901"
2015-07-09,대파,1.0㎏,4230,남구,4794,남구,564,13.33%,"4,512"
2015-07-09,돼지고기,삼겹살 500g,9250,남구,10900,남구,1650,17.84%,"10,075"
2015-07-09,두부,500g 판두부(국산포장두부 420g) 1모,4200,남구,5000,남구,800,19.05%,"4,600"
2015-07-09,라면,신라면 120g 1봉지,634,남구,634,남구,0,0.0%,634
2015-07-09,맥주,하이트 500㎖ 1병,1240,남구,1280,남구,40,3.23%,"1,260"
2015-07-09,무,2.0㎏ 1개,1680,남구,2327,남구,647,38.51%,"2,004"
2015-07-09,밀가루,백설표 중력분1등2.5㎏,3430,남구,3430,남구,0,0.0%,"3,430"
2015-07-09,밀감,100g 정도10개,9750,남구,9928,남구,178,1.83%,"9,839"
