날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2015-10-08,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8175,북구,8500,북구,325,3.98%,"8,338"
2015-10-08,간장,오복왕표 0.9ℓ 1병,4370,북구,6550,북구,2180,49.89%,"5,460"
2015-10-08,고등어,30㎝정도 500g 1마리,3450,북구,6000,북구,2550,73.91%,"4,725"
2015-10-08,달걀,오경슈퍼란60g정도 10개,2800,북구,2900,북구,100,3.57%,"2,850"
2015-10-08,닭고기,육계 1.0㎏,7000,북구,8480,북구,1480,21.14%,"7,740"
2015-10-08,대파,1.0㎏,2400,북구,4110,북구,1710,71.25%,"3,255"
2015-10-08,돼지고기,삼겹살 500g,10900,북구,11000,북구,100,0.92%,"10,950"
2015-10-08,두부,500g 판두부(국산포장두부 420g) 1모,3100,북구,4200,북구,1100,35.48%,"3,650"
2015-10-08,라면,신라면 120g 1봉지,630,북구,634,북구,4,0.63%,632
2015-10-08,맥주,하이트 500㎖ 1병,1260,북구,1350,북구,90,7.14%,"1,305"
2015-10-08,무,2.0㎏ 1개,1250,북구,1380,북구,130,10.4%,"1,315"
2015-10-08,밀가루,백설표 중력분1등2.5㎏,3430,북구,3430,북구,0,0.0%,"3,430"
2015-10-08,밀감,100g 정도10개,6900,북구,7470,북구,570,8.26%,"7,185"
2015-10-08,배,600g 정도 신고 10개,26435,북구,33000,북구,6565,24.83%,"29,718"
2015-10-08,배추,2.0㎏ 1포기,1629,북구,2500,북구,871,53.47%,"2,065"
2015-10-08,부엌용세제,참그린1.4㎏1봉리필용,3150,북구,4470,북구,1320,41.9%,"3,810"
2015-10-08,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,북구,13850,북구,0,0.0%,"13,850"
2015-10-08,사과,300g정도 부사 10개,13000,북구,13000,북구,0,0.0%,"13,000"
2015-10-08,사이다,칠성 PET병 1.5ℓ,2450,북구,2800,북구,350,14.29%,"2,625"
2015-10-08,설탕,백설표 정백당 1㎏,1630,북구,1630,북구,0,0.0%,"1,630"
2015-10-08,소주,시원소주 360㎖ 1병,1080,북구,1080,북구,0,0.0%,"1,080"
2015-10-08,쇠고기,한우등심 1등급 500g,43500,북구,46000,북구,2500,5.75%,"44,750"
2015-10-08,식용유,백설표콩기름1.8ℓ,5400,북구,6950,북구,1550,28.7%,"6,175"
2015-10-08,쌀,정미포장미 20㎏,44500,북구,53500,북구,9000,20.22%,"49,000"
2015-10-08,양파,1.0㎏-잎없는것,2340,북구,3250,북구,910,38.89%,"2,795"
2015-10-08,우유,부산우유 200㎖ 종이팩,730,북구,780,북구,50,6.85%,755
2015-10-08,참기름,오뚜기 320㎖ 1병,6600,북구,6600,북구,0,0.0%,"6,600"
2015-10-08,커피크림,동서 500g 리필용,2430,북구,2450,북구,20,0.82%,"2,440"
2015-10-08,콜라,코카콜라 PET병 1.8ℓ,2230,북구,2580,북구,350,15.7%,"2,405"
2015-10-08,화장지,뽀삐플러스30m×30롤(3겹),18480,북구,23900,북구,5420,29.33%,"21,190"
