날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2015-01-15,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8175,사하구,11993,사하구,3818,46.7%,"10,084"
2015-01-15,간장,오복왕표 0.9ℓ 1병,6290,사하구,6550,사하구,260,4.13%,"6,420"
2015-01-15,달걀,오경슈퍼란60g정도 10개,3290,사하구,3300,사하구,10,0.3%,"3,295"
2015-01-15,닭고기,육계 1.0㎏,7522,사하구,8410,사하구,888,11.81%,"7,966"
2015-01-15,대파,1.0㎏,2625,사하구,2763,사하구,138,5.26%,"2,694"
2015-01-15,돼지고기,삼겹살 500g,9000,사하구,13450,사하구,4450,49.44%,"11,225"
2015-01-15,두부,500g 판두부(국산포장두부 420g) 1모,4200,사하구,4200,사하구,0,0.0%,"4,200"
2015-01-15,라면,신라면 120g 1봉지,634,사하구,634,사하구,0,0.0%,634
2015-01-15,맥주,하이트 500㎖ 1병,1260,사하구,1350,사하구,90,7.14%,"1,305"
2015-01-15,무,2.0㎏ 1개,1370,사하구,1394,사하구,24,1.75%,"1,382"
2015-01-15,밀가루,백설표 중력분1등2.5㎏,3430,사하구,3590,사하구,160,4.66%,"3,510"
2015-01-15,밀감,100g 정도10개,2475,사하구,2980,사하구,505,20.4%,"2,728"
2015-01-15,배,600g 정도 신고 10개,14970,사하구,23700,사하구,8730,58.32%,"19,335"
2015-01-15,배추,2.0㎏ 1포기,1500,사하구,2590,사하구,1090,72.67%,"2,045"
2015-01-15,부엌용세제,참그린1.4㎏1봉리필용,5590,사하구,6500,사하구,910,16.28%,"6,045"
2015-01-15,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,사하구,14290,사하구,440,3.18%,"14,070"
2015-01-15,사과,300g정도 부사 10개,15179,사하구,15600,사하구,421,2.77%,"15,390"
2015-01-15,사이다,칠성 PET병 1.5ℓ,1980,사하구,2250,사하구,270,13.64%,"2,115"
2015-01-15,설탕,백설표 정백당 1㎏,1600,사하구,1630,사하구,30,1.88%,"1,615"
2015-01-15,소주,시원소주 360㎖ 1병,1080,사하구,1090,사하구,10,0.93%,"1,085"
2015-01-15,쇠고기,한우등심 1등급 500g,36000,사하구,36000,사하구,0,0.0%,"36,000"
2015-01-15,쌀,정미포장미 20㎏,45000,사하구,51900,사하구,6900,15.33%,"48,450"
2015-01-15,양파,1.0㎏-잎없는것,1108,사하구,1470,사하구,362,32.67%,"1,289"
2015-01-15,우유,부산우유 200㎖ 종이팩,730,사하구,730,사하구,0,0.0%,730
2015-01-15,참기름,오뚜기 320㎖ 1병,6590,사하구,6600,사하구,10,0.15%,"6,595"
2015-01-15,커피크림,동서 500g 리필용,2395,사하구,2430,사하구,35,1.46%,"2,413"
2015-01-15,콜라,코카콜라 PET병 1.8ℓ,2070,사하구,2511,사하구,441,21.3%,"2,291"
2015-04-09,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,사하구,11993,사하구,4568,61.52%,"9,709"
2015-04-09,간장,오복왕표 0.9ℓ 1병,6290,사하구,6550,사하구,260,4.13%,"6,420"
2015-04-09,달걀,오경슈퍼란60g정도 10개,2990,사하구,3300,사하구,310,10.37%,"3,145"
2015-04-09,닭고기,육계 1.0㎏,6017,사하구,8410,사하구,2393,39.77%,"7,214"
2015-04-09,대파,1.0㎏,2538,사하구,2725,사하구,187,7.37%,"2,632"
2015-04-09,돼지고기,삼겹살 500g,8750,사하구,9950,사하구,1200,13.71%,"9,350"
2015-04-09,두부,500g 판두부(국산포장두부 420g) 1모,4200,사하구,4200,사하구,0,0.0%,"4,200"
2015-04-09,라면,신라면 120g 1봉지,634,사하구,640,사하구,6,0.95%,637
2015-04-09,맥주,하이트 500㎖ 1병,1260,사하구,1350,사하구,90,7.14%,"1,305"
2015-04-09,무,2.0㎏ 1개,1470,사하구,1517,사하구,47,3.2%,"1,494"
2015-04-09,밀가루,백설표 중력분1등2.5㎏,3430,사하구,3590,사하구,160,4.66%,"3,510"
2015-04-09,밀감,100g 정도10개,4875,사하구,4875,사하구,0,0.0%,"4,875"
2015-04-09,배,600g 정도 신고 10개,23970,사하구,38333,사하구,14363,59.92%,"31,152"
2015-04-09,배추,2.0㎏ 1포기,1780,사하구,2490,사하구,710,39.89%,"2,135"
2015-04-09,부엌용세제,참그린1.4㎏1봉리필용,3590,사하구,6500,사하구,2910,81.06%,"5,045"
2015-04-09,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,사하구,14290,사하구,440,3.18%,"14,070"
2015-04-09,사과,300g정도 부사 10개,17180,사하구,19000,사하구,1820,10.59%,"18,090"
2015-04-09,사이다,칠성 PET병 1.5ℓ,2390,사하구,2450,사하구,60,2.51%,"2,420"
2015-04-09,설탕,백설표 정백당 1㎏,1550,사하구,1690,사하구,140,9.03%,"1,620"
2015-04-09,소주,시원소주 360㎖ 1병,1080,사하구,1090,사하구,10,0.93%,"1,085"
2015-04-09,쇠고기,한우등심 1등급 500g,29500,사하구,29500,사하구,0,0.0%,"29,500"
2015-04-09,식용유,백설표콩기름1.8ℓ,6950,사하구,6990,사하구,40,0.58%,"6,970"
2015-04-09,쌀,정미포장미 20㎏,38800,사하구,51900,사하구,13100,33.76%,"45,350"
2015-04-09,양파,1.0㎏-잎없는것,1376,사하구,1726,사하구,350,25.44%,"1,551"
2015-04-09,우유,부산우유 200㎖ 종이팩,730,사하구,730,사하구,0,0.0%,730
2015-04-09,참기름,오뚜기 320㎖ 1병,6590,사하구,6600,사하구,10,0.15%,"6,595"
2015-04-09,커피크림,동서 500g 리필용,2395,사하구,2430,사하구,35,1.46%,"2,413"
2015-04-09,콜라,코카콜라 PET병 1.8ℓ,2691,사하구,2790,사하구,99,3.68%,"2,741"
2015-04-09,화장지,뽀삐플러스30m×30롤(3겹),12040,사하구,21373,사하구,9333,77.52%,"16,707"
2015-07-09,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8175,사하구,9993,사하구,1818,22.24%,"9,084"
2015-07-09,간장,오복왕표 0.9ℓ 1병,6290,사하구,6550,사하구,260,4.13%,"6,420"
2015-07-09,고등어,30㎝정도 500g 1마리,5365,사하구,5365,사하구,0,0.0%,"5,365"
2015-07-09,달걀,오경슈퍼란60g정도 10개,2990,사하구,3000,사하구,10,0.33%,"2,995"
2015-07-09,닭고기,육계 1.0㎏,7522,사하구,8410,사하구,888,11.81%,"7,966"
2015-07-09,대파,1.0㎏,3525,사하구,4217,사하구,692,19.63%,"3,871"
2015-07-09,돼지고기,삼겹살 500g,11950,사하구,13500,사하구,1550,12.97%,"12,725"
2015-07-09,두부,500g 판두부(국산포장두부 420g) 1모,4200,사하구,4200,사하구,0,0.0%,"4,200"
2015-07-09,라면,신라면 120g 1봉지,634,사하구,640,사하구,6,0.95%,637
2015-07-09,맥주,하이트 500㎖ 1병,1260,사하구,1350,사하구,90,7.14%,"1,305"
2015-07-09,무,2.0㎏ 1개,1680,사하구,1990,사하구,310,18.45%,"1,835"
2015-07-09,밀가루,백설표 중력분1등2.5㎏,3430,사하구,3790,사하구,360,10.5%,"3,610"
2015-07-09,밀감,100g 정도10개,9933,사하구,11414,사하구,1481,14.91%,"10,674"
2015-07-09,배,600g 정도 신고 10개,35700,사하구,38333,사하구,2633,7.38%,"37,017"
2015-07-09,배추,2.0㎏ 1포기,2380,사하구,4990,사하구,2610,109.66%,"3,685"
2015-07-09,부엌용세제,참그린1.4㎏1봉리필용,2905,사하구,5890,사하구,2985,102.75%,"4,398"
2015-07-09,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,사하구,14290,사하구,440,3.18%,"14,070"
2015-07-09,사과,300g정도 부사 10개,17800,사하구,19800,사하구,2000,11.24%,"18,800"
2015-07-09,사이다,칠성 PET병 1.5ℓ,2400,사하구,2700,사하구,300,12.5%,"2,550"
2015-07-09,설탕,백설표 정백당 1㎏,1650,사하구,1690,사하구,40,2.42%,"1,670"
2015-07-09,소주,시원소주 360㎖ 1병,980,사하구,1080,사하구,100,10.2%,"1,030"
2015-07-09,쇠고기,한우등심 1등급 500g,37225,사하구,37225,사하구,0,0.0%,"37,225"
2015-07-09,식용유,백설표콩기름1.8ℓ,4860,사하구,7690,사하구,2830,58.23%,"6,275"
2015-07-09,쌀,정미포장미 20㎏,37500,사하구,51900,사하구,14400,38.4%,"44,700"
2015-07-09,양파,1.0㎏-잎없는것,2105,사하구,2990,사하구,885,42.04%,"2,548"
2015-07-09,우유,부산우유 200㎖ 종이팩,730,사하구,730,사하구,0,0.0%,730
2015-07-09,참기름,오뚜기 320㎖ 1병,6600,사하구,6990,사하구,390,5.91%,"6,795"
2015-07-09,커피크림,동서 500g 리필용,2430,사하구,2600,사하구,170,7.0%,"2,515"
2015-07-09,콜라,코카콜라 PET병 1.8ℓ,1880,사하구,2691,사하구,811,43.14%,"2,286"
2015-07-09,화장지,뽀삐플러스30m×30롤(3겹),12040,사하구,13377,사하구,1337,11.1%,"12,709"
2015-10-08,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7490,사하구,8175,사하구,685,9.15%,"7,833"
2015-10-08,간장,오복왕표 0.9ℓ 1병,6290,사하구,6290,사하구,0,0.0%,"6,290"
2015-10-08,고등어,30㎝정도 500g 1마리,3030,사하구,4865,사하구,1835,60.56%,"3,948"
2015-10-08,달걀,오경슈퍼란60g정도 10개,2990,사하구,3000,사하구,10,0.33%,"2,995"
2015-10-08,닭고기,육계 1.0㎏,5752,사하구,6990,사하구,1238,21.52%,"6,371"
2015-10-08,대파,1.0㎏,3692,사하구,3875,사하구,183,4.96%,"3,784"
2015-10-08,돼지고기,삼겹살 500g,7500,사하구,9450,사하구,1950,26.0%,"8,475"
2015-10-08,두부,500g 판두부(국산포장두부 420g) 1모,4200,사하구,4200,사하구,0,0.0%,"4,200"
2015-10-08,라면,신라면 120g 1봉지,634,사하구,634,사하구,0,0.0%,634
2015-10-08,맥주,하이트 500㎖ 1병,1260,사하구,1350,사하구,90,7.14%,"1,305"
2015-10-08,무,2.0㎏ 1개,1380,사하구,1990,사하구,610,44.2%,"1,685"
2015-10-08,밀가루,백설표 중력분1등2.5㎏,3430,사하구,3790,사하구,360,10.5%,"3,610"
2015-10-08,밀감,100g 정도10개,3995,사하구,6600,사하구,2605,65.21%,"5,298"
2015-10-08,배,600g 정도 신고 10개,29700,사하구,33712,사하구,4012,13.51%,"31,706"
2015-10-08,배추,2.0㎏ 1포기,1980,사하구,3590,사하구,1610,81.31%,"2,785"
2015-10-08,부엌용세제,참그린1.4㎏1봉리필용,3255,사하구,3255,사하구,0,0.0%,"3,255"
