날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2015-01-15,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,해운대구,10680,해운대구,3255,43.84%,"8,756"
2015-01-15,간장,오복왕표 0.9ℓ 1병,3963,해운대구,6550,해운대구,2587,65.28%,"5,588"
2015-01-15,고등어,30㎝정도 500g 1마리,3429,해운대구,3870,해운대구,441,12.86%,"3,650"
2015-01-15,달걀,오경슈퍼란60g정도 10개,2083,해운대구,3050,해운대구,967,46.42%,"2,678"
2015-01-15,닭고기,육계 1.0㎏,5800,해운대구,8900,해운대구,3100,53.45%,"7,407"
2015-01-15,대파,1.0㎏,2059,해운대구,3296,해운대구,1237,60.08%,"2,526"
2015-01-15,돼지고기,삼겹살 500g,7750,해운대구,12500,해운대구,4750,61.29%,"10,267"
2015-01-15,두부,500g 판두부(국산포장두부 420g) 1모,2873,해운대구,4200,해운대구,1327,46.19%,"3,686"
2015-01-15,라면,신라면 120g 1봉지,634,해운대구,634,해운대구,0,0.0%,634
2015-01-15,맥주,하이트 500㎖ 1병,1240,해운대구,1240,해운대구,0,0.0%,"1,240"
2015-01-15,무,2.0㎏ 1개,1380,해운대구,2205,해운대구,825,59.78%,"1,792"
2015-01-15,밀가루,백설표 중력분1등2.5㎏,3400,해운대구,3430,해운대구,30,0.88%,"3,420"
2015-01-15,밀감,100g 정도10개,2480,해운대구,3157,해운대구,677,27.3%,"2,706"
2015-01-15,배,600g 정도 신고 10개,17427,해운대구,38181,해운대구,20754,119.09%,"27,951"
2015-01-15,배추,2.0㎏ 1포기,804,해운대구,1284,해운대구,480,59.7%,"1,056"
2015-01-15,부엌용세제,참그린1.4㎏1봉리필용,3465,해운대구,6701,해운대구,3236,93.39%,"5,555"
2015-01-15,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13200,해운대구,13850,해운대구,650,4.92%,"13,633"
2015-01-15,사과,300g정도 부사 10개,14306,해운대구,18505,해운대구,4199,29.35%,"15,962"
2015-01-15,사이다,칠성 PET병 1.5ℓ,2208,해운대구,2240,해운대구,32,1.45%,"2,223"
2015-01-15,설탕,백설표 정백당 1㎏,1600,해운대구,1630,해운대구,30,1.88%,"1,610"
2015-01-15,소주,시원소주 360㎖ 1병,1060,해운대구,1090,해운대구,30,2.83%,"1,070"
2015-01-15,쇠고기,한우등심 1등급 500g,29900,해운대구,40500,해운대구,10600,35.45%,"35,967"
2015-01-15,쌀,정미포장미 20㎏,39800,해운대구,45500,해운대구,5700,14.32%,"43,267"
2015-01-15,양파,1.0㎏-잎없는것,1065,해운대구,1760,해운대구,695,65.26%,"1,387"
2015-01-15,우유,부산우유 200㎖ 종이팩,730,해운대구,730,해운대구,0,0.0%,730
2015-01-15,참기름,오뚜기 320㎖ 1병,6600,해운대구,6600,해운대구,0,0.0%,"6,600"
2015-01-15,커피크림,동서 500g 리필용,2245,해운대구,2430,해운대구,185,8.24%,"2,368"
2015-01-15,콜라,코카콜라 PET병 1.8ℓ,1580,해운대구,2490,해운대구,910,57.59%,"2,047"
2015-04-02,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7395,해운대구,10680,해운대구,3285,44.42%,"8,750"
2015-04-02,간장,오복왕표 0.9ℓ 1병,3963,해운대구,6550,해운대구,2587,65.28%,"5,588"
2015-04-02,고등어,30㎝정도 500g 1마리,6376,해운대구,6376,해운대구,0,0.0%,"6,376"
2015-04-02,달걀,오경슈퍼란60g정도 10개,2050,해운대구,3050,해운대구,1000,48.78%,"2,633"
2015-04-02,닭고기,육계 1.0㎏,6106,해운대구,7550,해운대구,1444,23.65%,"6,719"
2015-04-02,대파,1.0㎏,2303,해운대구,3750,해운대구,1447,62.83%,"2,999"
2015-04-02,돼지고기,삼겹살 500g,7900,해운대구,12500,해운대구,4600,58.23%,"10,483"
2015-04-02,두부,500g 판두부(국산포장두부 420g) 1모,3868,해운대구,4200,해운대구,332,8.58%,"4,015"
2015-04-02,라면,신라면 120g 1봉지,634,해운대구,634,해운대구,0,0.0%,634
2015-04-02,맥주,하이트 500㎖ 1병,1240,해운대구,1240,해운대구,0,0.0%,"1,240"
2015-04-02,무,2.0㎏ 1개,1349,해운대구,1941,해운대구,592,43.88%,"1,605"
2015-04-02,밀가루,백설표 중력분1등2.5㎏,3400,해운대구,3430,해운대구,30,0.88%,"3,420"
2015-04-02,밀감,100g 정도10개,3300,해운대구,6250,해운대구,2950,89.39%,"5,064"
2015-04-02,배,600g 정도 신고 10개,38360,해운대구,38360,해운대구,0,0.0%,"38,360"
2015-04-02,배추,2.0㎏ 1포기,1270,해운대구,1885,해운대구,615,48.43%,"1,530"
2015-04-02,부엌용세제,참그린1.4㎏1봉리필용,2765,해운대구,6683,해운대구,3918,141.7%,"5,316"
2015-04-02,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13850,해운대구,13850,해운대구,0,0.0%,"13,850"
2015-04-02,사과,300g정도 부사 10개,14093,해운대구,20778,해운대구,6685,47.43%,"16,879"
2015-04-02,사이다,칠성 PET병 1.5ℓ,2440,해운대구,2780,해운대구,340,13.93%,"2,557"
2015-04-02,설탕,백설표 정백당 1㎏,1570,해운대구,1600,해운대구,30,1.91%,"1,587"
2015-04-02,소주,시원소주 360㎖ 1병,1060,해운대구,1090,해운대구,30,2.83%,"1,070"
2015-04-02,쇠고기,한우등심 1등급 500g,29500,해운대구,36000,해운대구,6500,22.03%,"33,167"
2015-04-02,식용유,백설표콩기름1.8ℓ,6950,해운대구,6950,해운대구,0,0.0%,"6,950"
2015-04-02,쌀,정미포장미 20㎏,35900,해운대구,44500,해운대구,8600,23.96%,"41,633"
2015-04-02,양파,1.0㎏-잎없는것,1310,해운대구,1402,해운대구,92,7.02%,"1,355"
2015-04-02,우유,부산우유 200㎖ 종이팩,730,해운대구,730,해운대구,0,0.0%,730
2015-04-02,참기름,오뚜기 320㎖ 1병,6600,해운대구,6600,해운대구,0,0.0%,"6,600"
2015-04-02,커피크림,동서 500g 리필용,2245,해운대구,2580,해운대구,335,14.92%,"2,418"
2015-04-02,콜라,코카콜라 PET병 1.8ℓ,1980,해운대구,3096,해운대구,1116,56.36%,"2,622"
2015-04-02,화장지,뽀삐플러스30m×30롤(3겹),11925,해운대구,20637,해운대구,8712,73.06%,"15,272"
2015-07-09,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8162,해운대구,10680,해운대구,2518,30.85%,"9,006"
2015-07-09,간장,오복왕표 0.9ℓ 1병,3755,해운대구,6550,해운대구,2795,74.43%,"5,518"
2015-07-09,고등어,30㎝정도 500g 1마리,2714,해운대구,4651,해운대구,1937,71.37%,"3,936"
2015-07-09,달걀,오경슈퍼란60g정도 10개,2050,해운대구,2900,해운대구,850,41.46%,"2,517"
2015-07-09,닭고기,육계 1.0㎏,7522,해운대구,8500,해운대구,978,13.0%,"8,011"
2015-07-09,대파,1.0㎏,3141,해운대구,4458,해운대구,1317,41.93%,"3,762"
2015-07-09,돼지고기,삼겹살 500g,10550,해운대구,12000,해운대구,1450,13.74%,"11,150"
2015-07-09,두부,500g 판두부(국산포장두부 420g) 1모,3868,해운대구,7300,해운대구,3432,88.73%,"5,123"
2015-07-09,라면,신라면 120g 1봉지,634,해운대구,634,해운대구,0,0.0%,634
2015-07-09,맥주,하이트 500㎖ 1병,1240,해운대구,1280,해운대구,40,3.23%,"1,253"
2015-07-09,무,2.0㎏ 1개,1680,해운대구,2754,해운대구,1074,63.93%,"2,086"
2015-07-09,밀가루,백설표 중력분1등2.5㎏,3400,해운대구,3430,해운대구,30,0.88%,"3,420"
2015-07-09,밀감,100g 정도10개,9176,해운대구,10420,해운대구,1244,13.56%,"9,842"
2015-07-09,배,600g 정도 신고 10개,33428,해운대구,33428,해운대구,0,0.0%,"33,428"
2015-07-09,배추,2.0㎏ 1포기,1534,해운대구,2954,해운대구,1420,92.57%,"2,120"
2015-07-09,부엌용세제,참그린1.4㎏1봉리필용,2765,해운대구,6500,해운대구,3735,135.08%,"4,217"
2015-07-09,분말커피,맥심 스틱(커피믹스) 모카골드 100T,12500,해운대구,15100,해운대구,2600,20.8%,"13,827"
2015-07-09,사과,300g정도 부사 10개,20989,해운대구,25909,해운대구,4920,23.44%,"22,822"
2015-07-09,사이다,칠성 PET병 1.5ℓ,1650,해운대구,2440,해운대구,790,47.88%,"2,013"
2015-07-09,설탕,백설표 정백당 1㎏,1630,해운대구,1630,해운대구,0,0.0%,"1,630"
2015-07-09,소주,시원소주 360㎖ 1병,1060,해운대구,1100,해운대구,40,3.77%,"1,083"
2015-07-09,쇠고기,한우등심 1등급 500g,34500,해운대구,39000,해운대구,4500,13.04%,"37,167"
2015-07-09,식용유,백설표콩기름1.8ℓ,4860,해운대구,6950,해운대구,2090,43.0%,"6,253"
2015-07-09,쌀,정미포장미 20㎏,44500,해운대구,53800,해운대구,9300,20.9%,"47,600"
2015-07-09,양파,1.0㎏-잎없는것,2040,해운대구,2794,해운대구,754,36.96%,"2,313"
2015-07-09,우유,부산우유 200㎖ 종이팩,730,해운대구,730,해운대구,0,0.0%,730
2015-07-09,참기름,오뚜기 320㎖ 1병,6600,해운대구,7200,해운대구,600,9.09%,"6,800"
2015-07-09,커피크림,동서 500g 리필용,2430,해운대구,2625,해운대구,195,8.02%,"2,545"
2015-07-09,콜라,코카콜라 PET병 1.8ℓ,1980,해운대구,2780,해운대구,800,40.4%,"2,513"
2015-07-09,화장지,뽀삐플러스30m×30롤(3겹),11624,해운대구,14414,해운대구,2790,24.0%,"13,138"
2015-10-08,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7604,해운대구,17880,해운대구,10276,135.14%,"11,220"
2015-10-08,간장,오복왕표 0.9ℓ 1병,3755,해운대구,6880,해운대구,3125,83.22%,"5,128"
2015-10-08,고등어,30㎝정도 500g 1마리,3300,해운대구,3804,해운대구,504,15.27%,"3,593"
2015-10-08,달걀,오경슈퍼란60g정도 10개,2033,해운대구,2900,해운대구,867,42.65%,"2,511"
2015-10-08,닭고기,육계 1.0㎏,4980,해운대구,5752,해운대구,772,15.5%,"5,366"
2015-10-08,대파,1.0㎏,3573,해운대구,4457,해운대구,884,24.74%,"4,118"
2015-10-08,돼지고기,삼겹살 500g,6750,해운대구,9250,해운대구,2500,37.04%,"7,833"
2015-10-08,두부,500g 판두부(국산포장두부 420g) 1모,3868,해운대구,4200,해운대구,332,8.58%,"4,089"
2015-10-08,라면,신라면 120g 1봉지,634,해운대구,634,해운대구,0,0.0%,634
2015-10-08,맥주,하이트 500㎖ 1병,1240,해운대구,1350,해운대구,110,8.87%,"1,293"
2015-10-08,무,2.0㎏ 1개,1380,해운대구,3571,해운대구,2191,158.77%,"2,196"
2015-10-08,밀가루,백설표 중력분1등2.5㎏,3400,해운대구,3430,해운대구,30,0.88%,"3,420"
2015-10-08,밀감,100g 정도10개,4980,해운대구,6900,해운대구,1920,38.55%,"6,182"
2015-10-08,배,600g 정도 신고 10개,20454,해운대구,29575,해운대구,9121,44.59%,"24,299"
2015-10-08,배추,2.0㎏ 1포기,1143,해운대구,2294,해운대구,1151,100.7%,"1,763"
2015-10-08,부엌용세제,참그린1.4㎏1봉리필용,2590,해운대구,6774,해운대구,4184,161.54%,"4,121"
2015-10-08,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13680,해운대구,14500,해운대구,820,5.99%,"13,953"
2015-10-08,사과,300g정도 부사 10개,8602,해운대구,10489,해운대구,1887,21.94%,"9,509"
2015-10-08,사이다,칠성 PET병 1.5ℓ,1950,해운대구,2450,해운대구,500,25.64%,"2,239"
2015-10-08,설탕,백설표 정백당 1㎏,1630,해운대구,1630,해운대구,0,0.0%,"1,630"
2015-10-08,소주,시원소주 360㎖ 1병,1060,해운대구,1070,해운대구,10,0.94%,"1,063"
2015-10-08,쇠고기,한우등심 1등급 500g,37500,해운대구,44500,해운대구,7000,18.67%,"41,000"
2015-10-08,식용유,백설표콩기름1.8ℓ,6950,해운대구,6950,해운대구,0,0.0%,"6,950"
2015-10-08,쌀,정미포장미 20㎏,44500,해운대구,53800,해운대구,9300,20.9%,"48,367"
2015-10-08,양파,1.0㎏-잎없는것,2323,해운대구,2772,해운대구,449,19.33%,"2,583"
2015-10-08,우유,부산우유 200㎖ 종이팩,730,해운대구,730,해운대구,0,0.0%,730
2015-10-08,참기름,오뚜기 320㎖ 1병,6600,해운대구,6600,해운대구,0,0.0%,"6,600"
2015-10-08,커피크림,동서 500g 리필용,2430,해운대구,2895,해운대구,465,19.14%,"2,635"
2015-10-08,콜라,코카콜라 PET병 1.8ℓ,2230,해운대구,2780,해운대구,550,24.66%,"2,597"
2015-10-08,화장지,뽀삐플러스30m×30롤(3겹),16036,해운대구,20637,해운대구,4601,28.69%,"18,337"
