날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2016-04-14,가루비누,"세탁용세제(LG테크),가루형,3.0kg",6627,사상구,6675,사상구,48,0.72%,"6,651"
2016-04-14,간장,오복왕표 0.9ℓ 1병,6250,사상구,7360,사상구,1110,17.76%,"6,805"
2016-04-14,고등어,30㎝정도 500g 1마리,3772,사상구,5000,사상구,1228,32.56%,"4,386"
2016-04-14,달걀,오경슈퍼란60g정도 10개,2480,사상구,2580,사상구,100,4.03%,"2,530"
2016-04-14,닭고기,육계 1.0㎏,5990,사상구,8800,사상구,2810,46.91%,"7,395"
2016-04-14,대파,1.0㎏,3638,사상구,4142,사상구,504,13.85%,"3,890"
2016-04-14,돼지고기,삼겹살 500g,7250,사상구,11750,사상구,4500,62.07%,"9,500"
2016-04-14,두부,500g 판두부(국산포장두부 420g) 1모,4089,사상구,4089,사상구,0,0.0%,"4,089"
2016-04-14,라면,신라면 120g 1봉지,630,사상구,634,사상구,4,0.63%,632
2016-04-14,맥주,하이트 500㎖ 1병,1240,사상구,1240,사상구,0,0.0%,"1,240"
2016-04-14,무,2.0㎏ 1개,2329,사상구,2594,사상구,265,11.38%,"2,462"
2016-04-14,밀가루,백설표 중력분1등2.5㎏,2980,사상구,3430,사상구,450,15.1%,"3,205"
2016-04-14,배,600g 정도 신고 10개,25319,사상구,27577,사상구,2258,8.92%,"26,448"
2016-04-14,배추,2.0㎏ 1포기,1603,사상구,1987,사상구,384,23.96%,"1,795"
2016-04-14,부엌용세제,참그린1.4㎏1봉리필용,3387,사상구,5746,사상구,2359,69.65%,"4,567"
2016-04-14,분말커피,맥심 스틱(커피믹스) 모카골드 100T,11800,사상구,15750,사상구,3950,33.47%,"13,775"
2016-04-14,사과,300g정도 부사 10개,9900,사상구,15719,사상구,5819,58.78%,"12,810"
2016-04-14,사이다,칠성 PET병 1.5ℓ,2316,사상구,2450,사상구,134,5.79%,"2,383"
2016-04-14,설탕,백설표 정백당 1㎏,1590,사상구,1630,사상구,40,2.52%,"1,610"
2016-04-14,소주,시원소주 360㎖ 1병,1120,사상구,1130,사상구,10,0.89%,"1,125"
2016-04-14,식용유,백설표콩기름1.8ℓ,6950,사상구,6950,사상구,0,0.0%,"6,950"
2016-04-14,쌀,정미포장미 20㎏,32900,사상구,39800,사상구,6900,20.97%,"36,350"
2016-04-14,양파,1.0㎏-잎없는것,2655,사상구,2772,사상구,117,4.41%,"2,714"
2016-04-14,우유,부산우유 200㎖ 종이팩,730,사상구,730,사상구,0,0.0%,730
2016-04-14,참기름,오뚜기 320㎖ 1병,6600,사상구,6600,사상구,0,0.0%,"6,600"
2016-04-14,커피크림,동서 500g 리필용,2580,사상구,3200,사상구,620,24.03%,"2,890"
2016-04-14,콜라,코카콜라 PET병 1.8ℓ,2780,사상구,2790,사상구,10,0.36%,"2,785"
2016-04-14,화장지,뽀삐플러스30m×30롤(3겹),14414,사상구,17422,사상구,3008,20.87%,"15,918"
