날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2016-01-07,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8175,해운대구,17760,해운대구,9585,117.25%,"11,505"
2016-01-07,간장,오복왕표 0.9ℓ 1병,3755,해운대구,6250,해운대구,2495,66.44%,"4,985"
2016-01-07,달걀,오경슈퍼란60g정도 10개,1993,해운대구,2800,해운대구,807,40.49%,"2,464"
2016-01-07,닭고기,육계 1.0㎏,4800,해운대구,5980,해운대구,1180,24.58%,"5,511"
2016-01-07,대파,1.0㎏,3179,해운대구,5737,해운대구,2558,80.47%,"4,409"
2016-01-07,돼지고기,삼겹살 500g,8250,해운대구,9500,해운대구,1250,15.15%,"8,917"
2016-01-07,두부,500g 판두부(국산포장두부 420g) 1모,4089,해운대구,4365,해운대구,276,6.75%,"4,218"
2016-01-07,라면,신라면 120g 1봉지,630,해운대구,630,해운대구,0,0.0%,630
2016-01-07,맥주,하이트 500㎖ 1병,1240,해운대구,1350,해운대구,110,8.87%,"1,277"
2016-01-07,무,2.0㎏ 1개,1298,해운대구,2666,해운대구,1368,105.39%,"1,867"
2016-01-07,밀가루,백설표 중력분1등2.5㎏,3400,해운대구,3430,해운대구,30,0.88%,"3,420"
2016-01-07,밀감,100g 정도10개,2100,해운대구,2900,해운대구,800,38.1%,"2,427"
2016-01-07,배,600g 정도 신고 10개,13090,해운대구,23372,해운대구,10282,78.55%,"18,231"
2016-01-07,배추,2.0㎏ 1포기,1212,해운대구,1488,해운대구,276,22.77%,"1,393"
2016-01-07,부엌용세제,참그린1.4㎏1봉리필용,2590,해운대구,6774,해운대구,4184,161.54%,"4,682"
2016-01-07,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13650,해운대구,14500,해운대구,850,6.23%,"13,933"
2016-01-07,사과,300g정도 부사 10개,9060,해운대구,13950,해운대구,4890,53.97%,"10,817"
2016-01-07,사이다,칠성 PET병 1.5ℓ,2316,해운대구,2450,해운대구,134,5.79%,"2,405"
2016-01-07,설탕,백설표 정백당 1㎏,1610,해운대구,1630,해운대구,20,1.24%,"1,623"
2016-01-07,소주,시원소주 360㎖ 1병,1120,해운대구,1130,해운대구,10,0.89%,"1,127"
2016-01-07,쇠고기,한우등심 1등급 500g,39500,해운대구,47500,해운대구,8000,20.25%,"42,167"
2016-01-07,식용유,백설표콩기름1.8ℓ,6950,해운대구,6950,해운대구,0,0.0%,"6,950"
2016-01-07,쌀,정미포장미 20㎏,39800,해운대구,44500,해운대구,4700,11.81%,"41,367"
2016-01-07,양파,1.0㎏-잎없는것,2323,해운대구,3208,해운대구,885,38.1%,"2,719"
2016-01-07,우유,부산우유 200㎖ 종이팩,730,해운대구,730,해운대구,0,0.0%,730
2016-01-07,참기름,오뚜기 320㎖ 1병,6600,해운대구,6600,해운대구,0,0.0%,"6,600"
2016-01-07,커피크림,동서 500g 리필용,2420,해운대구,3000,해운대구,580,23.97%,"2,667"
2016-01-07,콜라,코카콜라 PET병 1.8ℓ,2190,해운대구,2780,해운대구,590,26.94%,"2,400"
2016-01-07,화장지,뽀삐플러스30m×30롤(3겹),10096,해운대구,20637,해운대구,10541,104.41%,"14,703"
2016-04-07,가루비누,"세탁용세제(LG테크),가루형,3.0kg",6675,해운대구,17760,해운대구,11085,166.07%,"11,005"
2016-04-07,간장,오복왕표 0.9ℓ 1병,3754,해운대구,6250,해운대구,2496,66.49%,"4,985"
2016-04-07,달걀,오경슈퍼란60g정도 10개,1960,해운대구,2800,해운대구,840,42.86%,"2,413"
2016-04-07,닭고기,육계 1.0㎏,4800,해운대구,7990,해운대구,3190,66.46%,"6,004"
