날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2018-01-04,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,남구,16135,남구,8710,117.31%,"11,780"
2018-01-04,간장,오복왕표 0.9ℓ 1병,6300,남구,6300,남구,0,0.0%,"6,300"
2018-01-04,고등어,30㎝정도 500g 1마리,2487,남구,3500,남구,1013,40.73%,"2,994"
2018-01-04,달걀,오경슈퍼란60g정도 10개,2680,남구,2880,남구,200,7.46%,"2,780"
2018-01-04,닭고기,육계 1.0㎏,4600,남구,4990,남구,390,8.48%,"4,795"
2018-01-04,대파,1.0㎏,3100,남구,3722,남구,622,20.06%,"3,411"
2018-01-04,돼지고기,삼겹살 500g,8950,남구,14250,남구,5300,59.22%,"11,600"
2018-01-04,두부,500g 판두부(국산포장두부 420g) 1모,4365,남구,5380,남구,1015,23.25%,"4,873"
2018-01-04,라면,신라면 120g 1봉지,676,남구,676,남구,0,0.0%,676
2018-01-04,맥주,하이트 500㎖ 1병,1400,남구,1410,남구,10,0.71%,"1,405"
2018-01-04,무,2.0㎏ 1개,2346,남구,2373,남구,27,1.15%,"2,360"
2018-01-04,밀가루,백설표 중력분1등2.5㎏,3080,남구,3290,남구,210,6.82%,"3,185"
2018-01-04,밀감,100g 정도10개,3600,남구,3900,남구,300,8.33%,"3,750"
2018-01-04,배,600g 정도 신고 10개,12150,남구,34493,남구,22343,183.89%,"23,322"
2018-01-04,배추,2.0㎏ 1포기,2679,남구,2906,남구,227,8.47%,"2,793"
2018-01-04,부엌용세제,참그린1.4㎏1봉리필용,6490,남구,6562,남구,72,1.11%,"6,526"
2018-01-04,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13500,남구,13500,남구,0,0.0%,"13,500"
2018-01-04,사과,300g정도 부사 10개,12720,남구,14966,남구,2246,17.66%,"13,843"
2018-01-04,사이다,칠성 PET병 1.5ℓ,1650,남구,2450,남구,800,48.48%,"2,050"
2018-01-04,설탕,백설표 정백당 1㎏,1580,남구,1630,남구,50,3.16%,"1,605"
2018-01-04,소주,시원소주 360㎖ 1병,1190,남구,1190,남구,0,0.0%,"1,190"
2018-01-04,쇠고기,한우등심 1등급 500g,29950,남구,49000,남구,19050,63.61%,"39,475"
2018-01-04,식용유,백설표콩기름1.8ℓ,6480,남구,7188,남구,708,10.93%,"6,834"
2018-01-04,쌀,정미포장미 20㎏,39900,남구,43900,남구,4000,10.03%,"41,900"
2018-01-04,양파,1.0㎏-잎없는것,1750,남구,2217,남구,467,26.69%,"1,984"
2018-01-04,우유,부산우유 200㎖ 종이팩,730,남구,730,남구,0,0.0%,730
2018-01-04,참기름,오뚜기 320㎖ 1병,5980,남구,7290,남구,1310,21.91%,"6,635"
2018-01-04,커피크림,동서 500g 리필용,2550,남구,3290,남구,740,29.02%,"2,920"
2018-01-04,콜라,코카콜라 PET병 1.8ℓ,2380,남구,2990,남구,610,25.63%,"2,685"
2018-01-04,화장지,뽀삐플러스30m×30롤(3겹),18500,남구,24785,남구,6285,33.97%,"21,643"
2018-04-05,가루비누,"세탁용세제(LG테크),가루형,3.0kg",8175,남구,12891,남구,4716,57.69%,"10,533"
2018-04-05,간장,오복왕표 0.9ℓ 1병,6300,남구,6300,남구,0,0.0%,"6,300"
2018-04-05,고등어,30㎝정도 500g 1마리,3737,남구,3877,남구,140,3.75%,"3,807"
2018-04-05,달걀,오경슈퍼란60g정도 10개,2390,남구,2680,남구,290,12.13%,"2,535"
2018-04-05,닭고기,육계 1.0㎏,4600,남구,5990,남구,1390,30.22%,"5,295"
2018-04-05,대파,1.0㎏,3100,남구,3154,남구,54,1.74%,"3,127"
2018-04-05,돼지고기,삼겹살 500g,8450,남구,13800,남구,5350,63.31%,"11,125"
2018-04-05,두부,500g 판두부(국산포장두부 420g) 1모,4365,남구,4365,남구,0,0.0%,"4,365"
2018-04-05,라면,신라면 120g 1봉지,676,남구,676,남구,0,0.0%,676
2018-04-05,맥주,하이트 500㎖ 1병,1400,남구,1410,남구,10,0.71%,"1,405"
2018-04-05,무,2.0㎏ 1개,3573,남구,4209,남구,636,17.8%,"3,891"
2018-04-05,밀가루,백설표 중력분1등2.5㎏,3080,남구,3290,남구,210,6.82%,"3,185"
2018-04-05,밀감,100g 정도10개,5950,남구,8250,남구,2300,38.66%,"7,100"
2018-04-05,배,600g 정도 신고 10개,18685,남구,30675,남구,11990,64.17%,"24,680"
2018-04-05,배추,2.0㎏ 1포기,3680,남구,4329,남구,649,17.64%,"4,005"
2018-04-05,부엌용세제,참그린1.4㎏1봉리필용,6490,남구,6562,남구,72,1.11%,"6,526"
2018-04-05,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13500,남구,13500,남구,0,0.0%,"13,500"
2018-04-05,사과,300g정도 부사 10개,14786,남구,18415,남구,3629,24.54%,"16,601"
2018-04-05,사이다,칠성 PET병 1.5ℓ,1649,남구,2450,남구,801,48.57%,"2,050"
2018-04-05,설탕,백설표 정백당 1㎏,1580,남구,1630,남구,50,3.16%,"1,605"
2018-04-05,소주,시원소주 360㎖ 1병,1190,남구,1190,남구,0,0.0%,"1,190"
2018-04-05,쇠고기,한우등심 1등급 500g,44950,남구,51000,남구,6050,13.46%,"47,975"
2018-04-05,식용유,백설표콩기름1.8ℓ,6480,남구,7188,남구,708,10.93%,"6,834"
2018-04-05,쌀,정미포장미 20㎏,44900,남구,46990,남구,2090,4.65%,"45,945"
2018-04-05,양파,1.0㎏-잎없는것,1690,남구,1750,남구,60,3.55%,"1,720"
2018-04-05,우유,부산우유 200㎖ 종이팩,730,남구,730,남구,0,0.0%,730
2018-04-05,참기름,오뚜기 320㎖ 1병,7250,남구,7290,남구,40,0.55%,"7,270"
2018-04-05,커피크림,동서 500g 리필용,2550,남구,3290,남구,740,29.02%,"2,920"
2018-04-05,콜라,코카콜라 PET병 1.8ℓ,2190,남구,3130,남구,940,42.92%,"2,660"
2018-04-05,화장지,뽀삐플러스30m×30롤(3겹),24785,남구,25900,남구,1115,4.5%,"25,343"
2018-07-05,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,남구,16135,남구,8710,117.31%,"11,780"
2018-07-05,간장,오복왕표 0.9ℓ 1병,6300,남구,6300,남구,0,0.0%,"6,300"
2018-07-05,달걀,오경슈퍼란60g정도 10개,2490,남구,2680,남구,190,7.63%,"2,585"
2018-07-05,닭고기,육계 1.0㎏,4495,남구,4600,남구,105,2.34%,"4,548"
2018-07-05,대파,1.0㎏,2628,남구,3257,남구,629,23.93%,"2,943"
2018-07-05,돼지고기,삼겹살 500g,9450,남구,18300,남구,8850,93.65%,"13,875"
2018-07-05,두부,500g 판두부(국산포장두부 420g) 1모,4365,남구,4365,남구,0,0.0%,"4,365"
2018-07-05,라면,신라면 120g 1봉지,676,남구,676,남구,0,0.0%,676
2018-07-05,맥주,하이트 500㎖ 1병,1400,남구,1410,남구,10,0.71%,"1,405"
2018-07-05,무,2.0㎏ 1개,2560,남구,2810,남구,250,9.77%,"2,685"
2018-07-05,밀가루,백설표 중력분1등2.5㎏,3080,남구,3290,남구,210,6.82%,"3,185"
2018-07-05,밀감,100g 정도10개,8250,남구,8500,남구,250,3.03%,"8,375"
2018-07-05,배,600g 정도 신고 10개,18685,남구,33469,남구,14784,79.12%,"26,077"
2018-07-05,배추,2.0㎏ 1포기,1980,남구,2017,남구,37,1.87%,"1,999"
2018-07-05,부엌용세제,참그린1.4㎏1봉리필용,6490,남구,6562,남구,72,1.11%,"6,526"
2018-07-05,분말커피,맥심 스틱(커피믹스) 모카골드 100T,10900,남구,13500,남구,2600,23.85%,"12,200"
2018-07-05,사과,300g정도 부사 10개,14578,남구,20723,남구,6145,42.15%,"17,651"
2018-07-05,사이다,칠성 PET병 1.5ℓ,1649,남구,2450,남구,801,48.57%,"2,050"
2018-07-05,설탕,백설표 정백당 1㎏,1580,남구,1630,남구,50,3.16%,"1,605"
2018-07-05,소주,시원소주 360㎖ 1병,1190,남구,1190,남구,0,0.0%,"1,190"
2018-07-05,쇠고기,한우등심 1등급 500g,44950,남구,65000,남구,20050,44.61%,"54,975"
2018-07-05,식용유,백설표콩기름1.8ℓ,6880,남구,7188,남구,308,4.48%,"7,034"
2018-07-05,쌀,정미포장미 20㎏,45990,남구,46900,남구,910,1.98%,"46,445"
2018-07-05,양파,1.0㎏-잎없는것,1105,남구,1165,남구,60,5.43%,"1,135"
2018-07-05,우유,부산우유 200㎖ 종이팩,730,남구,730,남구,0,0.0%,730
2018-07-05,참기름,오뚜기 320㎖ 1병,7250,남구,7290,남구,40,0.55%,"7,270"
2018-07-05,커피크림,동서 500g 리필용,2550,남구,3290,남구,740,29.02%,"2,920"
2018-07-05,콜라,코카콜라 PET병 1.8ℓ,2500,남구,3130,남구,630,25.2%,"2,815"
2018-07-05,화장지,뽀삐플러스30m×30롤(3겹),19800,남구,25822,남구,6022,30.41%,"22,811"
2018-10-11,가루비누,"세탁용세제(LG테크),가루형,3.0kg",5925,남구,16135,남구,10210,172.32%,"11,030"
2018-10-11,간장,오복왕표 0.9ℓ 1병,6300,남구,6300,남구,0,0.0%,"6,300"
2018-10-11,달걀,오경슈퍼란60g정도 10개,2680,남구,2680,남구,0,0.0%,"2,680"
2018-10-11,닭고기,육계 1.0㎏,4895,남구,5900,남구,1005,20.53%,"5,398"
2018-10-11,대파,1.0㎏,4471,남구,6271,남구,1800,40.26%,"5,371"
2018-10-11,돼지고기,삼겹살 500g,9400,남구,16250,남구,6850,72.87%,"12,825"
2018-10-11,두부,500g 판두부(국산포장두부 420g) 1모,4365,남구,4365,남구,0,0.0%,"4,365"
2018-10-11,라면,신라면 120g 1봉지,676,남구,676,남구,0,0.0%,676
2018-10-11,맥주,하이트 500㎖ 1병,1400,남구,1410,남구,10,0.71%,"1,405"
2018-10-11,무,2.0㎏ 1개,2580,남구,3276,남구,696,26.98%,"2,928"
2018-10-11,밀가루,백설표 중력분1등2.5㎏,3080,남구,3290,남구,210,6.82%,"3,185"
2018-10-11,밀감,100g 정도10개,6400,남구,6495,남구,95,1.48%,"6,448"
2018-10-11,배,600g 정도 신고 10개,29700,남구,44431,남구,14731,49.6%,"37,066"
2018-10-11,배추,2.0㎏ 1포기,2980,남구,3507,남구,527,17.68%,"3,244"
2018-10-11,부엌용세제,참그린1.4㎏1봉리필용,3250,남구,6990,남구,3740,115.08%,"5,120"
2018-10-11,분말커피,맥심 스틱(커피믹스) 모카골드 100T,9900,남구,10800,남구,900,9.09%,"10,350"
2018-10-11,사과,300g정도 부사 10개,16107,남구,19785,남구,3678,22.83%,"17,946"
