날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2019-01-03,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7837,부산진구,7837,부산진구,0,0.0%,"7,837"
2019-01-03,간장,오복왕표 0.9ℓ 1병,5818,부산진구,5818,부산진구,0,0.0%,"5,818"
2019-01-03,고등어,30㎝정도 500g 1마리,3737,부산진구,3737,부산진구,0,0.0%,"3,737"
2019-01-03,달걀,오경슈퍼란60g정도 10개,2690,부산진구,2690,부산진구,0,0.0%,"2,690"
2019-01-03,닭고기,육계 1.0㎏,8990,부산진구,8990,부산진구,0,0.0%,"8,990"
2019-01-03,대파,1.0㎏,3500,부산진구,3500,부산진구,0,0.0%,"3,500"
2019-01-03,돼지고기,삼겹살 500g,12250,부산진구,12250,부산진구,0,0.0%,"12,250"
2019-01-03,두부,500g 판두부(국산포장두부 420g) 1모,4365,부산진구,4365,부산진구,0,0.0%,"4,365"
2019-01-03,라면,신라면 120g 1봉지,676,부산진구,676,부산진구,0,0.0%,676
2019-01-03,맥주,하이트 500㎖ 1병,1400,부산진구,1400,부산진구,0,0.0%,"1,400"
2019-01-03,무,2.0㎏ 1개,2253,부산진구,2253,부산진구,0,0.0%,"2,253"
2019-01-03,밀가루,백설표 중력분1등2.5㎏,3290,부산진구,3290,부산진구,0,0.0%,"3,290"
2019-01-03,밀감,100g 정도10개,3711,부산진구,3711,부산진구,0,0.0%,"3,711"
2019-01-03,배,600g 정도 신고 10개,14900,부산진구,14900,부산진구,0,0.0%,"14,900"
2019-01-03,배추,2.0㎏ 1포기,2590,부산진구,2590,부산진구,0,0.0%,"2,590"
2019-01-03,부엌용세제,참그린1.4㎏1봉리필용,3995,부산진구,3995,부산진구,0,0.0%,"3,995"
2019-01-03,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13900,부산진구,13900,부산진구,0,0.0%,"13,900"
2019-01-03,사과,300g정도 부사 10개,25692,부산진구,25692,부산진구,0,0.0%,"25,692"
2019-01-03,사이다,칠성 PET병 1.5ℓ,2450,부산진구,2450,부산진구,0,0.0%,"2,450"
2019-01-03,설탕,백설표 정백당 1㎏,1580,부산진구,1580,부산진구,0,0.0%,"1,580"
2019-01-03,소주,시원소주 360㎖ 1병,1190,부산진구,1190,부산진구,0,0.0%,"1,190"
2019-01-03,쇠고기,한우등심 1등급 500g,34950,부산진구,34950,부산진구,0,0.0%,"34,950"
2019-01-03,식용유,백설표콩기름1.8ℓ,5040,부산진구,5040,부산진구,0,0.0%,"5,040"
2019-01-03,쌀,정미포장미 20㎏,51900,부산진구,51900,부산진구,0,0.0%,"51,900"
2019-01-03,양파,1.0㎏-잎없는것,1330,부산진구,1330,부산진구,0,0.0%,"1,330"
2019-01-03,우유,부산우유 200㎖ 종이팩,796,부산진구,796,부산진구,0,0.0%,796
2019-01-03,참기름,오뚜기 320㎖ 1병,7290,부산진구,7290,부산진구,0,0.0%,"7,290"
2019-01-03,커피크림,동서 500g 리필용,3290,부산진구,3290,부산진구,0,0.0%,"3,290"
2019-01-03,콜라,코카콜라 PET병 1.8ℓ,3130,부산진구,3130,부산진구,0,0.0%,"3,130"
2019-01-03,화장지,뽀삐플러스30m×30롤(3겹),24900,부산진구,24900,부산진구,0,0.0%,"24,900"
2019-04-04,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7087,부산진구,7087,부산진구,0,0.0%,"7,087"
2019-04-04,간장,오복왕표 0.9ℓ 1병,5818,부산진구,5818,부산진구,0,0.0%,"5,818"
