날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2019-07-04,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,사하구,7959,사하구,534,7.19%,"7,692"
2019-07-04,간장,오복왕표 0.9ℓ 1병,6677,사하구,6990,사하구,313,4.69%,"6,834"
2019-07-04,고등어,30㎝정도 500g 1마리,4605,사하구,5444,사하구,839,18.22%,"5,025"
2019-07-04,달걀,오경슈퍼란60g정도 10개,2980,사하구,2990,사하구,10,0.34%,"2,985"
2019-07-04,닭고기,육계 1.0㎏,6272,사하구,6990,사하구,718,11.45%,"6,631"
2019-07-04,대파,1.0㎏,3571,사하구,3666,사하구,95,2.66%,"3,619"
2019-07-04,돼지고기,삼겹살 500g,8950,사하구,9950,사하구,1000,11.17%,"9,450"
2019-07-04,두부,500g 판두부(국산포장두부 420g) 1모,4531,사하구,4531,사하구,0,0.0%,"4,531"
2019-07-04,라면,신라면 120g 1봉지,676,사하구,678,사하구,2,0.3%,677
2019-07-04,맥주,하이트 500㎖ 1병,1420,사하구,1460,사하구,40,2.82%,"1,440"
2019-07-04,무,2.0㎏ 1개,1480,사하구,1990,사하구,510,34.46%,"1,735"
2019-07-04,밀가루,백설표 중력분1등2.5㎏,3500,사하구,3790,사하구,290,8.29%,"3,645"
2019-07-04,밀감,100g 정도10개,10900,사하구,11125,사하구,225,2.06%,"11,013"
2019-07-04,배,600g 정도 신고 10개,24950,사하구,37909,사하구,12959,51.94%,"31,430"
2019-07-04,배추,2.0㎏ 1포기,2880,사하구,3990,사하구,1110,38.54%,"3,435"
2019-07-04,부엌용세제,참그린1.4㎏1봉리필용,3495,사하구,3990,사하구,495,14.16%,"3,743"
2019-07-04,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13780,사하구,14290,사하구,510,3.7%,"14,035"
2019-07-04,사과,300g정도 부사 10개,15180,사하구,17800,사하구,2620,17.26%,"16,490"
2019-07-04,사이다,칠성 PET병 1.5ℓ,2316,사하구,2325,사하구,9,0.39%,"2,321"
2019-07-04,설탕,백설표 정백당 1㎏,1580,사하구,1990,사하구,410,25.95%,"1,785"
2019-07-04,소주,시원소주 360㎖ 1병,1190,사하구,1190,사하구,0,0.0%,"1,190"
2019-07-04,쇠고기,한우등심 1등급 500g,39950,사하구,46000,사하구,6050,15.14%,"42,975"
2019-07-04,식용유,백설표콩기름1.8ℓ,5950,사하구,6950,사하구,1000,16.81%,"6,450"
2019-07-04,쌀,정미포장미 20㎏,49800,사하구,59900,사하구,10100,20.28%,"54,850"
2019-07-04,양파,1.0㎏-잎없는것,1320,사하구,1333,사하구,13,0.98%,"1,327"
2019-07-04,우유,부산우유 200㎖ 종이팩,796,사하구,796,사하구,0,0.0%,796
2019-07-04,참기름,오뚜기 320㎖ 1병,7250,사하구,7290,사하구,40,0.55%,"7,270"
2019-07-04,커피크림,동서 500g 리필용,2500,사하구,2600,사하구,100,4.0%,"2,550"
2019-07-04,콜라,코카콜라 PET병 1.8ℓ,2500,사하구,3130,사하구,630,25.2%,"2,815"
2019-07-04,화장지,뽀삐플러스30m×30롤(3겹),11397,사하구,15900,사하구,4503,39.51%,"13,649"
