날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2020-01-09,가루비누,"세탁용세제(LG테크),가루형,3.0kg",6742,사하구,7425,사하구,683,10.13%,"7,084"
2020-01-09,간장,오복왕표 0.9ℓ 1병,6350,사하구,6677,사하구,327,5.15%,"6,514"
2020-01-09,갈치,60cm정도 500g 1마리(냉동),8990,사하구,10000,사하구,1010,11.23%,"9,495"
2020-01-09,고등어,30㎝정도 500g 1마리,4393,사하구,4990,사하구,597,13.59%,"4,692"
2020-01-09,달걀,오경슈퍼란60g정도 10개,2980,사하구,2990,사하구,10,0.34%,"2,985"
2020-01-09,닭고기,육계 1.0㎏,6345,사하구,6990,사하구,645,10.17%,"6,668"
2020-01-09,대파,1.0㎏,3571,사하구,3600,사하구,29,0.81%,"3,586"
2020-01-09,돼지고기,삼겹살 500g,8400,사하구,9450,사하구,1050,12.5%,"8,925"
2020-01-09,두부,500g 판두부(국산포장두부 420g) 1모,4531,사하구,4531,사하구,0,0.0%,"4,531"
2020-01-09,라면,신라면 120g 1봉지,676,사하구,678,사하구,2,0.3%,677
2020-01-09,맥주,하이트 500㎖ 1병,1420,사하구,1440,사하구,20,1.41%,"1,430"
2020-01-09,무,2.0㎏ 1개,2980,사하구,2990,사하구,10,0.34%,"2,985"
2020-01-09,밀가루,백설표 중력분1등2.5㎏,3500,사하구,3790,사하구,290,8.29%,"3,645"
2020-01-09,밀감,100g 정도10개,2580,사하구,3196,사하구,616,23.88%,"2,888"
2020-01-09,배,600g 정도 신고 10개,19800,사하구,26940,사하구,7140,36.06%,"23,370"
2020-01-09,배추,2.0㎏ 1포기,3480,사하구,5990,사하구,2510,72.13%,"4,735"
2020-01-09,부엌용세제,참그린1.4㎏1봉리필용,3486,사하구,3990,사하구,504,14.46%,"3,738"
2020-01-09,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13780,사하구,15900,사하구,2120,15.38%,"14,840"
2020-01-09,사과,300g정도 부사 10개,9800,사하구,12375,사하구,2575,26.28%,"11,088"
2020-01-09,사이다,칠성 PET병 1.5ℓ,2075,사하구,2316,사하구,241,11.61%,"2,196"
2020-01-09,설탕,백설표 정백당 1㎏,1580,사하구,1690,사하구,110,6.96%,"1,635"
2020-01-09,소주,시원소주 360㎖ 1병,1190,사하구,1190,사하구,0,0.0%,"1,190"
2020-01-09,식용유,백설표콩기름1.8ℓ,4980,사하구,7908,사하구,2928,58.8%,"6,444"
2020-01-09,쌀,정미포장미 20㎏,54000,사하구,59900,사하구,5900,10.93%,"56,950"
2020-01-09,양파,1.0㎏-잎없는것,1853,사하구,1993,사하구,140,7.56%,"1,923"
2020-01-09,오징어,25cm정도 500g 2마리(냉동),8000,사하구,9000,사하구,1000,12.5%,"8,500"
2020-01-09,우유,부산우유 200㎖ 종이팩,796,사하구,796,사하구,0,0.0%,796
2020-01-09,참기름,오뚜기 320㎖ 1병,5990,사하구,7980,사하구,1990,33.22%,"6,985"
2020-01-09,커피크림,동서 500g 리필용,2500,사하구,2600,사하구,100,4.0%,"2,550"
2020-01-09,콜라,코카콜라 PET병 1.8ℓ,2490,사하구,2500,사하구,10,0.4%,"2,495"
2020-01-09,화장지,뽀삐플러스30m×30롤(3겹),13377,사하구,14900,사하구,1523,11.39%,"14,139"
2020-04-09,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,사하구,7425,사하구,0,0.0%,"7,425"
2020-04-09,간장,오복왕표 0.9ℓ 1병,6350,사하구,6677,사하구,327,5.15%,"6,514"
2020-04-09,갈치,60cm정도 500g 1마리(냉동),9920,사하구,12900,사하구,2980,30.04%,"11,410"
2020-04-09,달걀,오경슈퍼란60g정도 10개,2980,사하구,2990,사하구,10,0.34%,"2,985"
2020-04-09,닭고기,육계 1.0㎏,5990,사하구,6345,사하구,355,5.93%,"6,168"
2020-04-09,대파,1.0㎏,1428,사하구,2475,사하구,1047,73.32%,"1,952"
2020-04-09,돼지고기,삼겹살 500g,6800,사하구,6950,사하구,150,2.21%,"6,875"
2020-04-09,두부,500g 판두부(국산포장두부 420g) 1모,4531,사하구,4531,사하구,0,0.0%,"4,531"
2020-04-09,라면,신라면 120g 1봉지,676,사하구,676,사하구,0,0.0%,676
2020-04-09,맥주,하이트 500㎖ 1병,1420,사하구,1440,사하구,20,1.41%,"1,430"
2020-04-09,무,2.0㎏ 1개,1390,사하구,1480,사하구,90,6.47%,"1,435"
2020-04-09,밀가루,백설표 중력분1등2.5㎏,3500,사하구,3790,사하구,290,8.29%,"3,645"
2020-04-09,밀감,100g 정도10개,9440,사하구,11237,사하구,1797,19.04%,"10,339"
2020-04-09,배,600g 정도 신고 10개,24750,사하구,32400,사하구,7650,30.91%,"28,575"
2020-04-09,배추,2.0㎏ 1포기,2980,사하구,4990,사하구,2010,67.45%,"3,985"
2020-04-09,부엌용세제,참그린1.4㎏1봉리필용,3486,사하구,3990,사하구,504,14.46%,"3,738"
2020-04-09,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13780,사하구,15900,사하구,2120,15.38%,"14,840"
2020-04-09,사과,300g정도 부사 10개,13980,사하구,17960,사하구,3980,28.47%,"15,970"
2020-04-09,사이다,칠성 PET병 1.5ℓ,1816,사하구,2325,사하구,509,28.03%,"2,071"
2020-04-09,설탕,백설표 정백당 1㎏,1580,사하구,1690,사하구,110,6.96%,"1,635"
2020-04-09,소주,시원소주 360㎖ 1병,1190,사하구,1190,사하구,0,0.0%,"1,190"
2020-04-09,식용유,백설표콩기름1.8ℓ,6950,사하구,7908,사하구,958,13.78%,"7,429"
2020-04-09,쌀,정미포장미 20㎏,54000,사하구,59900,사하구,5900,10.93%,"56,950"
2020-04-09,양파,1.0㎏-잎없는것,1990,사하구,2660,사하구,670,33.67%,"2,325"
2020-04-09,오징어,25cm정도 500g 2마리(냉동),4450,사하구,5000,사하구,550,12.36%,"4,725"
2020-04-09,우유,부산우유 200㎖ 종이팩,796,사하구,796,사하구,0,0.0%,796
2020-04-09,참기름,오뚜기 320㎖ 1병,7250,사하구,7980,사하구,730,10.07%,"7,615"
2020-04-09,커피크림,동서 500g 리필용,2500,사하구,2745,사하구,245,9.8%,"2,623"
2020-04-09,콜라,코카콜라 PET병 1.8ℓ,2650,사하구,2650,사하구,0,0.0%,"2,650"
2020-04-09,화장지,뽀삐플러스30m×30롤(3겹),12434,사하구,14500,사하구,2066,16.62%,"13,467"
2020-07-09,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,사하구,7425,사하구,0,0.0%,"7,425"
2020-07-09,간장,오복왕표 0.9ℓ 1병,6350,사하구,6677,사하구,327,5.15%,"6,514"
2020-07-09,갈치,60cm정도 500g 1마리(냉동),9900,사하구,9900,사하구,0,0.0%,"9,900"
2020-07-09,고등어,30㎝정도 500g 1마리,4125,사하구,4990,사하구,865,20.97%,"4,558"
2020-07-09,달걀,오경슈퍼란60g정도 10개,2980,사하구,2990,사하구,10,0.34%,"2,985"
2020-07-09,닭고기,육계 1.0㎏,5990,사하구,6818,사하구,828,13.82%,"6,404"
2020-07-09,대파,1.0㎏,2842,사하구,3475,사하구,633,22.27%,"3,159"
2020-07-09,돼지고기,삼겹살 500g,11400,사하구,11450,사하구,50,0.44%,"11,425"
2020-07-09,두부,500g 판두부(국산포장두부 420g) 1모,4531,사하구,4531,사하구,0,0.0%,"4,531"
2020-07-09,라면,신라면 120g 1봉지,676,사하구,676,사하구,0,0.0%,676
2020-07-09,맥주,하이트 500㎖ 1병,1420,사하구,1440,사하구,20,1.41%,"1,430"
2020-07-09,무,2.0㎏ 1개,1490,사하구,1680,사하구,190,12.75%,"1,585"
2020-07-09,밀가루,백설표 중력분1등2.5㎏,3500,사하구,3790,사하구,290,8.29%,"3,645"
2020-07-09,밀감,100g 정도10개,9900,사하구,10800,사하구,900,9.09%,"10,350"
2020-07-09,배,600g 정도 신고 10개,24750,사하구,32400,사하구,7650,30.91%,"28,575"
2020-07-09,배추,2.0㎏ 1포기,3280,사하구,4990,사하구,1710,52.13%,"4,135"
2020-07-09,부엌용세제,참그린1.4㎏1봉리필용,3990,사하구,6930,사하구,2940,73.68%,"5,460"
2020-07-09,분말커피,맥심 스틱(커피믹스) 모카골드 100T,13780,사하구,15900,사하구,2120,15.38%,"14,840"
2020-07-09,사과,300g정도 부사 10개,19960,사하구,27800,사하구,7840,39.28%,"23,880"
2020-07-09,사이다,칠성 PET병 1.5ℓ,1824,사하구,2316,사하구,492,26.97%,"2,070"
2020-07-09,설탕,백설표 정백당 1㎏,1580,사하구,1690,사하구,110,6.96%,"1,635"
2020-07-09,소주,시원소주 360㎖ 1병,1190,사하구,1290,사하구,100,8.4%,"1,240"
2020-07-09,쇠고기,한우등심 1등급 500g,49500,사하구,55000,사하구,5500,11.11%,"52,250"
2020-07-09,식용유,백설표콩기름1.8ℓ,6950,사하구,7908,사하구,958,13.78%,"7,429"
2020-07-09,쌀,정미포장미 20㎏,54000,사하구,59900,사하구,5900,10.93%,"56,950"
2020-07-09,양파,1.0㎏-잎없는것,1993,사하구,2453,사하구,460,23.08%,"2,223"
2020-07-09,오징어,25cm정도 500g 2마리(냉동),5000,사하구,6600,사하구,1600,32.0%,"5,800"
2020-07-09,우유,부산우유 200㎖ 종이팩,796,사하구,796,사하구,0,0.0%,796
2020-07-09,참기름,오뚜기 320㎖ 1병,7250,사하구,7980,사하구,730,10.07%,"7,615"
2020-07-09,커피크림,동서 500g 리필용,2500,사하구,2745,사하구,245,9.8%,"2,623"
2020-07-09,콜라,코카콜라 PET병 1.8ℓ,2690,사하구,3300,사하구,610,22.68%,"2,995"
2020-07-09,화장지,뽀삐플러스30m×30롤(3겹),10266,사하구,13900,사하구,3634,35.4%,"12,083"
2020-10-15,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,사하구,10492,사하구,3067,41.31%,"8,959"
2020-10-15,간장,오복왕표 0.9ℓ 1병,6350,사하구,6677,사하구,327,5.15%,"6,514"
2020-10-15,갈치,60cm정도 500g 1마리(냉동),9900,사하구,10800,사하구,900,9.09%,"10,350"
2020-10-15,고등어,30㎝정도 500g 1마리,3500,사하구,5990,사하구,2490,71.14%,"4,745"
2020-10-15,달걀,오경슈퍼란60g정도 10개,2980,사하구,2990,사하구,10,0.34%,"2,985"
2020-10-15,닭고기,육계 1.0㎏,5990,사하구,8095,사하구,2105,35.14%,"7,043"
