날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2023-01-12,가루비누,"세탁용세제(LG테크),가루형,3.0kg",9375,동래구,10500,동래구,1125,12.0%,"9,938"
2023-01-12,간장,오복왕표 0.9ℓ 1병,7500,동래구,8350,동래구,850,11.33%,"7,925"
2023-01-12,갈치,60cm정도 500g 1마리(냉동),11820,동래구,15840,동래구,4020,34.01%,"13,830"
2023-01-12,고등어,30㎝정도 500g 1마리,4420,동래구,4600,동래구,180,4.07%,"4,510"
2023-01-12,달걀,오경슈퍼란60g정도 10개,4290,동래구,4400,동래구,110,2.56%,"4,345"
2023-01-12,닭고기,육계 1.0㎏,7483,동래구,11650,동래구,4167,55.69%,"9,567"
2023-01-12,대파,1.0㎏,4900,동래구,5162,동래구,262,5.35%,"5,031"
2023-01-12,돼지고기,삼겹살 500g,7850,동래구,11800,동래구,3950,50.32%,"9,825"
2023-01-12,두부,500g 판두부(국산포장두부 420g) 1모,5150,동래구,5194,동래구,44,0.85%,"5,172"
2023-01-12,라면,신라면 120g 1봉지,820,동래구,820,동래구,0,0.0%,820
2023-01-12,맥주,하이트 500㎖ 1병,1550,동래구,1580,동래구,30,1.94%,"1,565"
2023-01-12,무,2.0㎏ 1개,1555,동래구,1800,동래구,245,15.76%,"1,678"
2023-01-12,밀가루,백설표 중력분1등2.5㎏,4600,동래구,4600,동래구,0,0.0%,"4,600"
2023-01-12,밀감,100g 정도10개,2373,동래구,3980,동래구,1607,67.72%,"3,177"
2023-01-12,배,600g 정도 신고 10개,20600,동래구,26400,동래구,5800,28.16%,"23,500"
2023-01-12,배추,2.0㎏ 1포기,2460,동래구,2840,동래구,380,15.45%,"2,650"
2023-01-12,부엌용세제,참그린1.4㎏1봉리필용,7900,동래구,9260,동래구,1360,17.22%,"8,580"
2023-01-12,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16480,동래구,18400,동래구,1920,11.65%,"17,440"
2023-01-12,사과,300g정도 부사 10개,16441,동래구,19980,동래구,3539,21.53%,"18,211"
2023-01-12,사이다,칠성 PET병 1.5ℓ,2820,동래구,2980,동래구,160,5.67%,"2,900"
2023-01-12,설탕,백설표 정백당 1㎏,1980,동래구,1980,동래구,0,0.0%,"1,980"
2023-01-12,소주,시원소주 360㎖ 1병,1380,동래구,1380,동래구,0,0.0%,"1,380"
2023-01-12,쇠고기,한우등심 1등급 500g,50000,동래구,54500,동래구,4500,9.0%,"52,250"
2023-01-12,식용유,백설표콩기름1.8ℓ,7600,동래구,7700,동래구,100,1.32%,"7,650"
2023-01-12,쌀,정미포장미 20㎏,52900,동래구,53000,동래구,100,0.19%,"52,950"
2023-01-12,양파,1.0㎏-잎없는것,3564,동래구,3600,동래구,36,1.01%,"3,582"
2023-01-12,오징어,25cm정도 500g 2마리(냉동),8117,동래구,8400,동래구,283,3.49%,"8,259"
2023-01-12,우유,부산우유 200㎖ 종이팩,930,동래구,933,동래구,3,0.32%,932
2023-01-12,참기름,오뚜기 320㎖ 1병,9280,동래구,9580,동래구,300,3.23%,"9,430"
2023-01-12,커피크림,동서 500g 리필용,3000,동래구,3300,동래구,300,10.0%,"3,150"
2023-01-12,콜라,코카콜라 PET병 1.8ℓ,2980,동래구,3980,동래구,1000,33.56%,"3,480"
2023-01-12,화장지,뽀삐플러스30m×30롤(3겹),13711,동래구,19510,동래구,5799,42.29%,"16,611"
2023-04-13,가루비누,"세탁용세제(LG테크),가루형,3.0kg",9375,동래구,10500,동래구,1125,12.0%,"9,938"
2023-04-13,간장,오복왕표 0.9ℓ 1병,7500,동래구,8351,동래구,851,11.35%,"7,926"
2023-04-13,갈치,60cm정도 500g 1마리(냉동),9900,동래구,19040,동래구,9140,92.32%,"14,470"
2023-04-13,고등어,30㎝정도 500g 1마리,4500,동래구,4900,동래구,400,8.89%,"4,700"
2023-04-13,달걀,오경슈퍼란60g정도 10개,3990,동래구,4400,동래구,410,10.28%,"4,195"
2023-04-13,닭고기,육계 1.0㎏,7916,동래구,9100,동래구,1184,14.96%,"8,508"
2023-04-13,대파,1.0㎏,2618,동래구,4000,동래구,1382,52.79%,"3,309"
2023-04-13,돼지고기,삼겹살 500g,8350,동래구,11200,동래구,2850,34.13%,"9,775"
2023-04-13,두부,500g 판두부(국산포장두부 420g) 1모,5150,동래구,5194,동래구,44,0.85%,"5,172"
2023-04-13,라면,신라면 120g 1봉지,820,동래구,820,동래구,0,0.0%,820
2023-04-13,맥주,하이트 500㎖ 1병,1550,동래구,1580,동래구,30,1.94%,"1,565"
2023-04-13,무,2.0㎏ 1개,990,동래구,2222,동래구,1232,124.44%,"1,606"
2023-04-13,밀가루,백설표 중력분1등2.5㎏,4600,동래구,4700,동래구,100,2.17%,"4,650"
2023-04-13,배,600g 정도 신고 10개,21900,동래구,33000,동래구,11100,50.68%,"27,450"
2023-04-13,배추,2.0㎏ 1포기,3200,동래구,3990,동래구,790,24.69%,"3,595"
2023-04-13,부엌용세제,참그린1.4㎏1봉리필용,4400,동래구,6620,동래구,2220,50.45%,"5,510"
