날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2023-01-12,가루비누,"세탁용세제(LG테크),가루형,3.0kg",10450,사상구,17250,사상구,6800,65.07%,"13,850"
2023-01-12,간장,오복왕표 0.9ℓ 1병,8417,사상구,9264,사상구,847,10.06%,"8,841"
2023-01-12,갈치,60cm정도 500g 1마리(냉동),13035,사상구,15980,사상구,2945,22.59%,"14,508"
2023-01-12,고등어,30㎝정도 500g 1마리,6111,사상구,7975,사상구,1864,30.5%,"7,043"
2023-01-12,달걀,오경슈퍼란60g정도 10개,3990,사상구,4180,사상구,190,4.76%,"4,085"
2023-01-12,닭고기,육계 1.0㎏,9800,사상구,14990,사상구,5190,52.96%,"12,395"
2023-01-12,대파,1.0㎏,2780,사상구,3390,사상구,610,21.94%,"3,085"
2023-01-12,돼지고기,삼겹살 500g,9950,사상구,10400,사상구,450,4.52%,"10,175"
2023-01-12,두부,500g 판두부(국산포장두부 420g) 1모,5194,사상구,5194,사상구,0,0.0%,"5,194"
2023-01-12,라면,신라면 120g 1봉지,820,사상구,820,사상구,0,0.0%,820
2023-01-12,맥주,하이트 500㎖ 1병,1550,사상구,1650,사상구,100,6.45%,"1,600"
2023-01-12,무,2.0㎏ 1개,2329,사상구,2400,사상구,71,3.05%,"2,365"
2023-01-12,밀가루,백설표 중력분1등2.5㎏,4590,사상구,4780,사상구,190,4.14%,"4,685"
2023-01-12,밀감,100g 정도10개,9320,사상구,9900,사상구,580,6.22%,"9,610"
2023-01-12,배,600g 정도 신고 10개,46740,사상구,67360,사상구,20620,44.12%,"57,050"
2023-01-12,배추,2.0㎏ 1포기,2988,사상구,3760,사상구,772,25.84%,"3,374"
2023-01-12,부엌용세제,참그린1.4㎏1봉리필용,7629,사상구,9450,사상구,1821,23.87%,"8,540"
2023-01-12,분말커피,맥심 스틱(커피믹스) 모카골드 100T,17560,사상구,18400,사상구,840,4.78%,"17,980"
