날짜,품목,규격,최저가,최저가_지역,최고가,최고가_지역,가격차이,차이비율(%),금주평균가
2024-01-11,가루비누,"세탁용세제(LG테크),가루형,3.0kg",7425,북구,10900,북구,3475,46.8%,"9,163"
2024-01-11,간장,오복왕표 0.9ℓ 1병,5800,북구,7500,북구,1700,29.31%,"6,650"
2024-01-11,갈치,60cm정도 500g 1마리(냉동),4500,북구,14271,북구,9771,217.13%,"9,386"
2024-01-11,고등어,30㎝정도 500g 1마리,4000,북구,4875,북구,875,21.88%,"4,438"
2024-01-11,달걀,오경슈퍼란60g정도 10개,3990,북구,4200,북구,210,5.26%,"4,095"
2024-01-11,닭고기,육계 1.0㎏,5825,북구,9700,북구,3875,66.52%,"7,763"
2024-01-11,대파,1.0㎏,4200,북구,4780,북구,580,13.81%,"4,490"
2024-01-11,돼지고기,삼겹살 500g,11950,북구,13900,북구,1950,16.32%,"12,925"
2024-01-11,두부,500g 판두부(국산포장두부 420g) 1모,1500,북구,6164,북구,4664,310.93%,"3,832"
2024-01-11,라면,신라면 120g 1봉지,780,북구,780,북구,0,0.0%,780
2024-01-11,맥주,하이트 500㎖ 1병,1670,북구,1680,북구,10,0.6%,"1,675"
2024-01-11,무,2.0㎏ 1개,1322,북구,1580,북구,258,19.52%,"1,451"
2024-01-11,밀가루,백설표 중력분1등2.5㎏,4600,북구,4750,북구,150,3.26%,"4,675"
2024-01-11,밀감,100g 정도10개,4300,북구,6360,북구,2060,47.91%,"5,330"
2024-01-11,배,600g 정도 신고 10개,25000,북구,32936,북구,7936,31.74%,"28,968"
2024-01-11,배추,2.0㎏ 1포기,2030,북구,2730,북구,700,34.48%,"2,380"
2024-01-11,부엌용세제,참그린1.4㎏1봉리필용,4250,북구,10900,북구,6650,156.47%,"7,575"
2024-01-11,분말커피,맥심 스틱(커피믹스) 모카골드 100T,16330,북구,16480,북구,150,0.92%,"16,405"
2024-01-11,사과,300g정도 부사 10개,25000,북구,31752,북구,6752,27.01%,"28,376"
2024-01-11,사이다,칠성 PET병 1.5ℓ,2316,북구,2780,북구,464,20.03%,"2,548"
2024-01-11,설탕,백설표 정백당 1㎏,2380,북구,2380,북구,0,0.0%,"2,380"
2024-01-11,소주,시원소주 360㎖ 1병,1340,북구,1580,북구,240,17.91%,"1,460"
2024-01-11,쇠고기,한우등심 1등급 500g,44500,북구,59900,북구,15400,34.61%,"52,200"
2024-01-11,식용유,백설표콩기름1.8ℓ,6980,북구,8480,북구,1500,21.49%,"7,730"
